age,type_employer,fnlwgt,education,education_num,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
37,Private,253575,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,2,1810,48,United-States,>50K
53,Private,98793,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,0,0,33,United-States,<=50K
17,Private,147930,11th,7,Never-married,Other-service,Own-child,Black,Male,0,0,23,United-States,<=50K
30,Private,111721,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,9,0,22,India,<=50K
40,?,177005,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,12,0,49,United-States,<=50K
34,Private,224424,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,36,Canada,>50K
36,?,277607,5th-6th,7,Married-AF-spouse,?,Unmarried,White,Female,0,0,34,United-States,>50K
25,State-gov,74028,Some-college,10,Never-married,Other-service,Other-relative,White,Female,5,0,20,United-States,<=50K
56,Federal-gov,352595,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,15,0,49,United-States,>50K
46,Private,268637,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,5,0,40,United-States,>50K
19,Private,198715,Assoc-acdm,12,Never-married,Sales,Unmarried,White,Male,9,0,48,United-States,<=50K
29,?,547565,Bachelors,13,Never-married,?,Unmarried,Black,Male,0,0,40,United-States,<=50K
33,Private,121468,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,30,0,36,United-States,<=50K
22,Local-gov,109099,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,21,United-States,<=50K
43,Self-emp-not-inc,157380,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,?,<=50K
25,Private,140096,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
31,Private,52104,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,27,0,40,United-States,>50K
40,Private,272885,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7882,1764,49,United-States,>50K
53,?,178417,5th-6th,4,Separated,?,Unmarried,Black,Female,2,0,11,United-States,<=50K
24,Private,220471,Some-college,10,Divorced,Farming-fishing,Other-relative,White,Female,20,0,22,United-States,<=50K
59,Local-gov,202256,Some-college,10,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,31,0,51,United-States,<=50K
41,Local-gov,166597,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,16,0,53,United-States,>50K
32,Private,146225,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Male,23,0,50,United-States,>50K
31,Federal-gov,178239,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,19,0,53,United-States,>50K
23,Private,140596,9th,4,Never-married,Other-service,Not-in-family,Black,Female,21,0,46,United-States,<=50K
29,Private,343162,11th,7,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,26,United-States,<=50K
19,Private,161466,11th,7,Never-married,?,Own-child,Amer-Indian-Eskimo,Female,0,0,21,United-States,<=50K
30,Private,185114,Doctorate,16,Married-civ-spouse,Craft-repair,Husband,White,Male,15176,0,53,Mexico,>50K
50,Private,247861,Prof-school,15,Married-civ-spouse,Craft-repair,Husband,White,Male,17,0,55,United-States,>50K
30,Private,80936,Assoc-voc,7,Never-married,Machine-op-inspct,Other-relative,Black,Female,0,1,40,United-States,<=50K
58,Private,127112,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,12,0,47,?,<=50K
64,Private,243808,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2,0,60,United-States,<=50K
45,Private,173104,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,23,0,46,?,<=50K
31,Private,162119,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5,0,52,United-States,>50K
58,Federal-gov,85806,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,16,0,40,United-States,>50K
54,Private,118630,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,12,0,40,United-States,<=50K
22,?,198447,HS-grad,9,Never-married,?,Other-relative,Black,Male,0,0,40,Laos,<=50K
40,Private,164429,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,14,0,55,United-States,>50K
32,?,127066,Some-college,10,Widowed,?,Not-in-family,White,Male,0,1,36,United-States,<=50K
18,Private,383177,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,23,United-States,<=50K
21,Private,204055,11th,7,Never-married,Handlers-cleaners,Own-child,Black,Male,5,0,36,United-States,<=50K
48,Private,315903,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,12,0,40,United-States,>50K
34,Private,124407,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,188334,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,3,0,17,United-States,<=50K
24,Private,297054,Bachelors,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Yugoslavia,<=50K
24,Private,149817,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
28,Private,54949,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,49,United-States,<=50K
26,Private,359188,Assoc-acdm,12,Never-married,Handlers-cleaners,Own-child,White,Male,9,0,47,United-States,<=50K
28,Private,315057,Bachelors,13,Married-civ-spouse,Other-service,Own-child,White,Male,19,0,47,United-States,<=50K
29,Federal-gov,190858,Bachelors,14,Married-civ-spouse,Exec-managerial,Husband,Other,Male,9,0,40,United-States,>50K
57,Private,207349,Masters,14,Widowed,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
40,Private,147910,Bachelors,13,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,12,0,51,United-States,>50K
29,Private,67323,Assoc-voc,11,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,51,?,<=50K
37,Private,121556,HS-grad,7,Separated,Other-service,Not-in-family,Black,Male,17,0,19,United-States,<=50K
49,Private,56937,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,9,0,40,England,>50K
26,Private,208671,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,14,0,60,United-States,<=50K
25,Private,153973,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,16,0,21,United-States,<=50K
22,Private,236873,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Female,8,0,47,United-States,<=50K
60,Private,227503,Masters,13,Divorced,Exec-managerial,Not-in-family,White,Male,7632,0,53,United-States,>50K
41,Private,372388,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,18,0,40,Mexico,<=50K
25,Private,143356,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,1,0,52,United-States,<=50K
39,Private,146257,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,52,United-States,<=50K
26,Private,299245,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,14,0,40,?,<=50K
53,Self-emp-not-inc,150692,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,1,40,United-States,>50K
31,Private,180047,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,19,0,34,United-States,<=50K
59,Private,155110,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
51,Federal-gov,100901,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,>50K
34,?,265598,Bachelors,13,Never-married,?,Unmarried,Black,Female,0,0,40,United-States,<=50K
48,Private,130278,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,1,40,United-States,<=50K
43,Local-gov,214616,Assoc-voc,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,1,36,United-States,>50K
41,Private,57290,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,28,0,52,United-States,>50K
38,Private,136533,Assoc-acdm,15,Divorced,Exec-managerial,Not-in-family,White,Female,15,0,53,?,<=50K
41,Private,115374,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,<=50K
27,Private,174519,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,1,0,40,United-States,<=50K
45,Private,183183,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Male,4,0,48,United-States,>50K
19,Local-gov,314321,10th,7,Never-married,Other-service,Not-in-family,Black,Male,6,0,40,United-States,<=50K
24,Private,195003,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,4,0,30,United-States,<=50K
64,?,111619,Some-college,10,Widowed,?,Own-child,White,Female,21,0,35,United-States,<=50K
29,Federal-gov,155374,Bachelors,13,Separated,Transport-moving,Not-in-family,White,Male,0,0,52,United-States,<=50K
55,Private,209543,HS-grad,9,Married-spouse-absent,Other-service,Own-child,White,Female,4005,0,33,United-States,<=50K
30,Private,107167,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Female,17,0,49,United-States,<=50K
17,Private,362086,5th-6th,4,Never-married,?,Other-relative,Black,Female,0,0,40,United-States,<=50K
48,Private,207773,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,15429,0,53,United-States,>50K
30,Private,62089,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,12,0,50,United-States,>50K
56,Private,203075,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,21,0,50,United-States,>50K
32,Private,254748,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
60,Private,175041,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,3847,0,47,United-States,>50K
19,Private,747492,HS-grad,9,Never-married,Other-service,Other-relative,Black,Female,3,0,40,United-States,<=50K
20,Private,98910,HS-grad,5,Never-married,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,10,0,40,United-States,<=50K
20,Private,32382,11th,7,Never-married,Sales,Own-child,White,Female,14,0,25,United-States,<=50K
31,Private,103453,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,40,?,<=50K
